Vehicle Name,Trip Started At,Trip Ended At,Trip Distance Miles,Average MPG,Fuel Cost USD,Hard Brake Count,Hard Accel Count,Duration Over 70 MPH,Duration Over 75 MPH,Duration Over 80 MPH,Trip Path Image Map URL,Start Location Lon,Start Location Lat,Start Location Map URL,End Location Lon,End Location Lat,End Location Map URL
Volkswagen Jetta,"March 17, 2014 at 09:06AM","March 17, 2014 at 10:08AM",47.11,27.16,$6.57,0,0,118,0,0,http://wmsy.me/1guc8h8,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 17, 2014 at 12:48PM","March 17, 2014 at 12:59PM",5.06,23.04,$0.84,0,0,0,0,0,http://wmsy.me/1fD4C3A,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2281272,40.740182,http://wmsy.me/1ecqTZA
Volkswagen Jetta,"March 17, 2014 at 01:40PM","March 17, 2014 at 01:53PM",3.79,21.26,$0.68,0,0,0,0,0,http://wmsy.me/1oiTrDN,-73.2281272,40.740182,http://wmsy.me/1ecqTZA,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 17, 2014 at 05:56PM","March 17, 2014 at 06:50PM",43.5,29.82,$5.53,1,0,181,0,0,http://wmsy.me/1fUe7ju,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 18, 2014 at 08:18AM","March 18, 2014 at 09:32AM",43.07,26.61,$6.16,0,2,96,0,0,http://wmsy.me/1lKP6Yu,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 18, 2014 at 05:36PM","March 18, 2014 at 06:19PM",22.92,25.31,$3.44,0,1,1,0,0,http://wmsy.me/Ozy6JA,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.5312156,40.7743712,http://wmsy.me/Ozy6JC
Volkswagen Jetta,"March 18, 2014 at 07:49PM","March 18, 2014 at 08:24PM",25.02,29.76,$3.21,0,0,18,0,0,http://wmsy.me/1j18LWQ,-73.5312156,40.7743712,http://wmsy.me/Ozy6JC,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 19, 2014 at 09:08AM","March 19, 2014 at 09:57AM",43.14,29.37,$5.59,0,2,105,0,0,http://wmsy.me/1lOyVJI,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 19, 2014 at 12:28PM","March 19, 2014 at 12:38PM",4.91,23.29,$0.81,0,1,0,0,0,http://wmsy.me/Ox2oNr,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2281272,40.740182,http://wmsy.me/1ecqTZA
Volkswagen Jetta,"March 19, 2014 at 01:49PM","March 19, 2014 at 01:54PM",1.28,16.12,$0.3,1,0,0,0,0,http://wmsy.me/1hBXoiN,-73.2281272,40.740182,http://wmsy.me/1ecqTZA,-73.240866,40.745693,http://wmsy.me/1hBXpDr
